,kanwil,cabang,jalan,des_kec,kab_prov,telepon
0,Kantor Pusat (Konvensional),N/A,JALAN KRAMAT RAYA NO 162,"Kenari, Senen","Jakarta Pusat, DKI Jakarta",0213155550
1,Wilayah 1 Medan,Kantor Pusat (Konvensional),JALAN PEGADAIAN NO 112,"Polonia, Medan Polonia","Medan, Sumatera Utara",0614567247
2,Wilayah 2 Pekanbaru,Kantor Pusat (Konvensional),JALAN JEND. SUDIRMAN NO. 167 A-B,"Simpang Empat, Pekanbaru Kota","Pekanbaru, Riau",076139195
3,Wilayah 3 Palembang,Kantor Pusat (Konvensional),JL.MERDEKA NO.11,"19 Ilir, Bukit Kecil","Palembang, Sumatera Selatan",0711361529
4,Wilayah 4 Balikpapan,Kantor Pusat (Konvensional),JALAN JENDERAL SUDIRMAN STALKUDA,"Klandasan Ulu, Balikpapan Selatan","Balikpapan, Kalimantan Timur",0542762002
5,Wilayah 5 Manado,Kantor Pusat (Konvensional),JL.DR.SOETOMO NO.199,"Pinaesaan, Wenang","Manado, Sulawesi Utara",0431869262
6,Wilayah 6 Makasar,Kantor Pusat (Konvensional),JALAN,"Maricaya, Makassar","Makassar, Sulawesi Selatan",0431869262
7,Wilayah 7 Denpasar,Kantor Pusat (Konvensional),JL RAYA PUPUTAN NO 23.C,"Dangin Puri, Denpasar Timur","Denpasar, Bali",0361242011
8,Wilayah 8 Jakarta I,Kantor Pusat (Konvensional),JL SENEN RAYA NO.36,"Senen, Senen","Jakarta Pusat, DKI Jakarta",0213505151
9,Wilayah 9 Jakarta II,Kantor Pusat (Konvensional),JALAN PASAR SENEN,"Senen, Senen","Jakarta Pusat, DKI Jakarta",0213450759
10,Wilayah 10 Bandung,Kantor Pusat (Konvensional),JL.PUGKUR NO 125,"Balong Gede, Regol","Bandung, Jawa Barat",0224262280
11,Wilayah 11 Semarang,Kantor Pusat (Konvensional),JALAN KIMANGUN SARKORO NO. 7,"Kranggan, Semarang Tengah","Semarang, Jawa Tengah",0248415896
